Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Final Balance,Final Bank,Profit/Loss,Status,Success
1,2011-09-02_203.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,18,8,252,2,ACTIVE,Yes
2,2011-09-03_86.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,10,8,252,2,ACTIVE,Yes
3,2011-09-04_124.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,20,2,250,0,ACTIVE,Yes
4,2011-09-05_163.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,17,30,257,7,ACTIVE,Yes
5,2011-09-06_134.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,19,4,251,1,ACTIVE,Yes
6,2011-09-07_106.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,8,16,254,4,ACTIVE,Yes
7,2011-09-08_169.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,15,20,255,5,ACTIVE,Yes
8,2011-09-09_190.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,23,41,260,10,ACTIVE,Yes
9,2011-09-10_184.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,23,17,254,4,ACTIVE,Yes
10,2011-09-11_108.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,19,5,251,1,ACTIVE,Yes
11,2011-09-12_174.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,27,11,252,2,ACTIVE,Yes
12,2011-09-13_133.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,26,2,250,0,ACTIVE,Yes
13,2011-09-14_160.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,15,14,253,3,ACTIVE,Yes
14,2011-09-15_99.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,11,-143,214,-36,ACTIVE,No
15,2011-09-16_169.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,27,3,250,0,ACTIVE,Yes
16,2011-09-17_161.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,17,12,253,3,ACTIVE,Yes
17,2011-09-18_160.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,25,10,252,2,ACTIVE,Yes
18,2011-09-19_121.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,21,1,250,0,ACTIVE,Yes
19,2011-09-21_130.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,11,12,253,3,ACTIVE,Yes
20,2011-09-22_139.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,11,11,252,2,ACTIVE,Yes
21,2011-09-24_189.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,30,14,253,3,ACTIVE,Yes
22,2011-09-26_87.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,13,17,254,4,ACTIVE,Yes
23,2011-09-27_72.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,11,0,250,0,ACTIVE,Yes
24,2011-09-28_142.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,28,1,250,0,ACTIVE,Yes
25,2011-09-29_87.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,21,0,250,0,ACTIVE,Yes
26,2011-09-30_200.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,21,0,250,0,ACTIVE,Yes
27,2011-10-01_203.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,20,21,255,5,ACTIVE,Yes
28,2011-10-02_263.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,28,-7,248,-2,ACTIVE,No
29,2011-10-03_246.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,30,20,255,5,ACTIVE,Yes
30,2011-10-05_100.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,20,1,250,0,ACTIVE,Yes
31,2011-10-06_117.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,17,6,251,1,ACTIVE,Yes
32,2011-10-07_115.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,17,15,253,3,ACTIVE,Yes
33,2011-10-10_169.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,25,6,251,1,ACTIVE,Yes
34,2011-10-11_69.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,12,0,250,0,ACTIVE,Yes
35,2011-10-12_121.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,9,6,251,1,ACTIVE,Yes
36,2011-10-13_206.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,29,7,251,1,ACTIVE,Yes
37,2011-10-14_216.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,33,17,254,4,ACTIVE,Yes
38,2011-10-15_283.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,50,23,255,5,ACTIVE,Yes
39,2011-10-16_268.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,30,52,263,13,ACTIVE,No
40,2011-10-17_184.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,24,11,252,2,ACTIVE,Yes
41,2011-10-18_81.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,15,7,251,1,ACTIVE,Yes
42,2011-10-19_95.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,15,5,251,1,ACTIVE,Yes
43,2011-10-20_108.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,15,-64,234,-16,ACTIVE,No
44,2011-10-21_188.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,22,27,256,6,ACTIVE,Yes
45,2011-10-22a_167.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,27,11,252,2,ACTIVE,Yes
46,2011-10-22b_207.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,20,-114,221,-29,ACTIVE,No
47,2011-10-22c_48.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,13,0,250,0,ACTIVE,Yes
48,2011-10-22d_65.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,10,2,250,0,ACTIVE,Yes
49,2011-10-23_127.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,21,4,251,1,ACTIVE,Yes
50,2011-10-24_559.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,82,59,264,14,ACTIVE,Yes
